value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
,,,,,,,,,,,,,,,,,,,,,,,,,,5.688033,7.738815,,822.2779,13.91449,1431.001,199.0059,780.079
,,,,,,,,,,,,,,,,,,,,,,,,,,5.694442,7.742018,534.4149,821.6613,13.9164,1418.74,196.6618,780.6704
,,,,,,,,,,,,,,,,,,,,,,,,,,5.726486,7.751632,,820.7369,13.9183,1415.573,196.6539,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.720077,7.759642,,826.2767,13.92403,1412.882,195.7075,779.7833
,,,,,,,,,,,,,,,,,,,,,,,,,,5.686431,7.766052,,824.4321,13.90686,1410.594,196.697,781.784
,,,,,,,,,,,,,,,,,,,,,,,,,,5.678421,7.769255,534.5579,837.4438,13.89351,1411.076,195.8422,790.9495
,,,,,,,,,,,,,,,,,,,,,,,,,,5.654388,7.77246,,839.254,13.87825,1409.546,200.6567,799.228
,,,,,,,,,,,,,,,,,,,,,,,,,,5.638366,7.775664,,838.2492,,1419.997,199.3442,793.9061
,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.701,839.1536,13.88016,1433.157,201.7349,795.68
,,,,,,,,,,,,,,,,,,,,,,,,,,5.639968,,534.8441,845.1738,,1446.696,202.8735,799.5236
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.0167,13.90686,1467.605,202.0541,787.9929
,,,,,,,,,,,,,,,,,,,,,,,,,,5.647978,7.769255,,835.842,13.92021,1473.068,202.4679,788.2189
,,,,,,,,,,,,,,,,,,,,,,,,,,5.662399,7.767654,534.9872,834.3297,13.93166,1463.337,199.8749,787.9929
,,,,,,,,,,,,,,,,,,,,,,,,,,5.720077,7.766052,,828.846,13.93547,1452.972,201.3588,787.6276
,,,,,,,,,,,,,,,,,,,,,,,,,,5.753723,,535.1303,831.8976,13.93929,1444.652,198.0693,787.332
,,,,,,,,,,,,,,,,,,,,,,,,,,5.758529,,,837.9672,13.94691,1441.409,199.3155,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.736099,7.77246,535.2734,841.5865,13.92021,1440.911,198.545,798.8616
